ResellerCode,Product,Variant,Quantity,SaleDate,AmountEarned,AmountPaid,IsSettled,CreatedAt
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
RES-0001,Butter Croissant,Pack of 4,10,09/09/2026 09:39:56,0.6,0.6,True,09/09/2026 09:39:56
